"","palavras","freq"
"christie","christie",50
"class","class",50
"comfortable","comfortable",50
"country","country",50
"entire","entire",50
"exit","exit",50
"fake","fake",50
"georgie","georgie",50
"joel","joel",50
"list","list",50
"picking","picking",50
"send","send",50
"valerie","valerie",50
"cream","cream",49
"death","death",49
"fault","fault",49
"intercom","intercom",49
"light","light",49
"lobby","lobby",49
"noise","noise",49
"note","note",49
"ping","ping",49
"pizza","pizza",49
"plate","plate",49
"possible","possible",49
"president","president",49
"pushes","pushes",49
"quick","quick",49
"screaming","screaming",49
"sell","sell",49
"stage","stage",49
"stopped","stopped",49
"waiter","waiter",49
"answering","answering",48
"asking","asking",48
"cat","cat",48
"dating","dating",48
"divola","divola",48
"dress","dress",48
"gimme","gimme",48
"hotel","hotel",48
"idiot","idiot",48
"listens","listens",48
"lucky","lucky",48
"lying","lying",48
"needs","needs",48
"nurse","nurse",48
"ones","ones",48
"pain","pain",48
"photo","photo",48
"quickly","quickly",48
"rather","rather",48
"serious","serious",48
"strange","strange",48
"super","super",48
"wake","wake",48
"worst","worst",48
"alex","alex",47
"annoyed","annoyed",47
"brody","brody",47
"doll","doll",47
"ear","ear",47
"forty","forty",47
"fridge","fridge",47
"garage","garage",47
"garbage","garbage",47
"homeless","homeless",47
"judge","judge",47
"knight","knight",47
"months","months",47
"newspaper","newspaper",47
"personal","personal",47
"rudy","rudy",47
"shouting","shouting",47
"sofa","sofa",47
"tough","tough",47
"uhm","uhm",47
"uncomfortable","uncomfortable",47
"vincent","vincent",47
"wyck","wyck",47
"bread","bread",46
"christmas","christmas",46
"company","company",46
"flying","flying",46
"gentlemen","gentlemen",46
"lights","lights",46
"lives","lives",46
"meal","meal",46
"nuts","nuts",46
"roy","roy",46
"secret","secret",46
"showing","showing",46
"silvio","silvio",46
"sold","sold",46
"straight","straight",46
"turning","turning",46
"yea","yea",46
"young","young",46
"accident","accident",45
"blind","blind",45
"charles","charles",45
"dressed","dressed",45
"dry","dry",45
"foot","foot",45
"grab","grab",45
"guide","guide",45
"happening","happening",45
"melissa","melissa",45
"monks","monks",45
"paying","paying",45
"pie","pie",45
"quietly","quietly",45
"receptionist","receptionist",45
"seconds","seconds",45
"spots","spots",45
"stares","stares",45
"theatre","theatre",45
"vivian","vivian",45
"wish","wish",45
"words","words",45
"afternoon","afternoon",44
"bags","bags",44
"blue","blue",44
"changed","changed",44
"chiles","chiles",44
"darryl","darryl",44
"fix","fix",44
"friday","friday",44
"japanese","japanese",44
"lena","lena",44
"lose","lose",44
"massage","massage",44
"material","material",44
"missed","missed",44
"popcorn","popcorn",44
"racquet","racquet",44
"shaking","shaking",44
"theater","theater",44
"welcome","welcome",44
"wonderful","wonderful",44
"become","become",43
"begin","begin",43
"brain","brain",43
"brown","brown",43
"cafe","cafe",43
"cashier","cashier",43
"clear","clear",43
"crying","crying",43
"enjoy","enjoy",43
"entering","entering",43
"enzo","enzo",43
"follow","follow",43
"glad","glad",43
"greg","greg",43
"hanging","hanging",43
"ken","ken",43
"mister","mister",43
"opposite","opposite",43
"owe","owe",43
"purse","purse",43
"ricky","ricky",43
"sense","sense",43
"sweet","sweet",43
"trip","trip",43
"turned","turned",43
"absolutely","absolutely",42
"amazing","amazing",42
"blow","blow",42
"bookman","bookman",42
"boss","boss",42
"breath","breath",42
"brought","brought",42
"cash","cash",42
"feels","feels",42
"figure","figure",42
"james","james",42
"jay","jay",42
"key","key",42
"listening","listening",42
"mad","mad",42
"morgan","morgan",42
"neil","neil",42
"noel","noel",42
"pleasure","pleasure",42
"poor","poor",42
"rye","rye",42
"sarcastic","sarcastic",42
"starting","starting",42
"tennis","tennis",42
"traffic","traffic",42
"winona","winona",42
"assistant","assistant",41
"bank","bank",41
"bonnie","bonnie",41
"boxes","boxes",41
"comedian","comedian",41
"concerned","concerned",41
"cousin","cousin",41
"dana","dana",41
"delivery","delivery",41
"detective","detective",41
"die","die",41
"early","early",41
"familiar","familiar",41
"girls","girls",41
"golf","golf",41
"gun","gun",41
"heart","heart",41
"laughter","laughter",41
"levitan","levitan",41
"lie","lie",41
"market","market",41
"mayo","mayo",41
"muffin","muffin",41
"naomi","naomi",41
"present","present",41
"stadium","stadium",41
"stuck","stuck",41
"threw","threw",41
"abby","abby",40
"bone","bone",40
"cabin","cabin",40
"chuckles","chuckles",40
"cigars","cigars",40
"dancing","dancing",40
"danny","danny",40
"director","director",40
"gettin","gettin",40
"handle","handle",40
"horse","horse",40
"island","island",40
"jon","jon",40
"landis","landis",40
"mood","mood",40
"near","near",40
"passenger","passenger",40
"paula","paula",40
"places","places",40
"reads","reads",40
"ridiculous","ridiculous",40
"scott","scott",40
"sent","sent",40
"sue","sue",40
"team","team",40
"visit","visit",40
"voight","voight",40
"weird","weird",40
"yep","yep",40
"anywhere","anywhere",39
"asleep","asleep",39
"beat","beat",39
"buying","buying",39
"cindy","cindy",39
"closet","closet",39
"cost","cost",39
"cover","cover",39
"dentist","dentist",39
"explain","explain",39
"fell","fell",39
"fruit","fruit",39
"hungry","hungry",39
"joey","joey",39
"luck","luck",39
"missing","missing",39
"picked","picked",39
"ran","ran",39
"richard","richard",39
"ron","ron",39
"sandi","sandi",39
"save","save",39
"service","service",39
"shuts","shuts",39
"slams","slams",39
"song","song",39
"spend","spend",39
"susie","susie",39
"truth","truth",39
"yogurt","yogurt",39
"art","art",38
"audience","audience",38
"bout","bout",38
"buckles","buckles",38
"dark","dark",38
"earl","earl",38
"emily","emily",38
"fall","fall",38
"farkus","farkus",38
"gene","gene",38
"handing","handing",38
"hasn","hasn",38
"kept","kept",38
"low","low",38
"mirror","mirror",38
"paris","paris",38
"patient","patient",38
"radio","radio",38
"raises","raises",38
"sixty","sixty",38
"somewhere","somewhere",38
"steven","steven",38
"suppose","suppose",38
"video","video",38
"america","america",37
"butler","butler",37
"cancer","cancer",37
"charge","charge",37
"disappointed","disappointed",37
"drawer","drawer",37
"eighty","eighty",37
"finds","finds",37
"gestures","gestures",37
"gino","gino",37
"grabbing","grabbing",37
"hallie","hallie",37
"hamilton","hamilton",37
"join","join",37
"lanette","lanette",37
"mark","mark",37
"pass","pass",37
"plans","plans",37
"pool","pool",37
"state","state",37
"towel","towel",37
"type","type",37
"underwear","underwear",37
"wide","wide",37
"yankees","yankees",37
"area","area",36
"attractive","attractive",36
"braun","braun",36
"casting","casting",36
"english","english",36
"given","given",36
"indicates","indicates",36
"laura","laura",36
"legs","legs",36
"library","library",36
"motion","motion",36
"rolls","rolls",36
"sandos","sandos",36
"saturday","saturday",36
"sister","sister",36
"spare","spare",36
"stan","stan",36
"stink","stink",36
"tired","tired",36
"tongue","tongue",36
"acting","acting",35
"agent","agent",35
"alan","alan",35
"beach","beach",35
"besides","besides",35
"bike","bike",35
"block","block",35
"closed","closed",35
"code","code",35
"condo","condo",35
"continue","continue",35
"evelyn","evelyn",35
"except","except",35
"expression","expression",35
"hearing","hearing",35
"heavy","heavy",35
"instead","instead",35
"killing","killing",35
"law","law",35
"limo","limo",35
"longer","longer",35
"mel","mel",35
"milk","milk",35
"normal","normal",35
"power","power",35
"realize","realize",35
"record","record",35
"sauce","sauce",35
"sets","sets",35
"sharon","sharon",35
"smart","smart",35
"smoke","smoke",35
"snaps","snaps",35
"speaking","speaking",35
"speed","speed",35
"station","station",35
"stole","stole",35
"tub","tub",35
"unbelievable","unbelievable",35
"wild","wild",35
"bother","bother",34
"court","court",34
"daughter","daughter",34
"extra","extra",34
"fancy","fancy",34
"fifteen","fifteen",34
"finished","finished",34
"frankie","frankie",34
"goodbye","goodbye",34
"hanke","hanke",34
"honey","honey",34
"imagine","imagine",34
"lawyer","lawyer",34
"murphy","murphy",34
"noticed","noticed",34
"offer","offer",34
"pauses","pauses",34
"queens","queens",34
"script","script",34
"shopping","shopping",34
"tina","tina",34
"toast","toast",34
"wonder","wonder",34
"breaks","breaks",33
"brings","brings",33
"broken","broken",33
"butter","butter",33
"captain","captain",33
"cereal","cereal",33
"decided","decided",33
"eddie","eddie",33
"frustrated","frustrated",33
"ground","ground",33
"harris","harris",33
"heading","heading",33
"hitting","hitting",33
"jeff","jeff",33
"katie","katie",33
"keeps","keeps",33
"knife","knife",33
"label","label",33
"lane","lane",33
"model","model",33
"month","month",33
"roll","roll",33
"sponge","sponge",33
"subway","subway",33
"tells","tells",33
"tosses","tosses",33
"upstairs","upstairs",33
"aah","aah",32
"apparently","apparently",32
"baseball","baseball",32
"buzzes","buzzes",32
"candy","candy",32
"careful","careful",32
"carrie","carrie",32
"connie","connie",32
"covered","covered",32
"definitely","definitely",32
"died","died",32
"downtown","downtown",32
"earlier","earlier",32
"embarrassed","embarrassed",32
"emergency","emergency",32
"engaged","engaged",32
"exciting","exciting",32
"hurry","hurry",32
"jeannie","jeannie",32
"ketchup","ketchup",32
"less","less",32
"lift","lift",32
"meat","meat",32
"papers","papers",32
"pete","pete",32
"rita","rita",32
"rochelle","rochelle",32
"sara","sara",32
"single","single",32
"skin","skin",32
"sports","sports",32
"sudden","sudden",32
"usher","usher",32
"weren","weren",32
"announcer","announcer",31
"bottles","bottles",31
"breaking","breaking",31
"certainly","certainly",31
"clubs","clubs",31
"complete","complete",31
"dance","dance",31
"doors","doors",31
"executive","executive",31
"gesture","gesture",31
"goodnight","goodnight",31
"grace","grace",31
"green","green",31
"involved","involved",31
"juice","juice",31
"jump","jump",31
"leader","leader",31
"lee","lee",31
"lemme","lemme",31
"martel","martel",31
"marty","marty",31
"nut","nut",31
"percent","percent",31
"plan","plan",31
"ralph","ralph",31
"rid","rid",31
"rushes","rushes",31
"shouts","shouts",31
"sighs","sighs",31
"slow","slow",31
"stealing","stealing",31
"talkin","talkin",31
"throat","throat",31
"tip","tip",31
"track","track",31
"trust","trust",31
"address","address",30
"apologize","apologize",30
"aunt","aunt",30
"beth","beth",30
"biddle","biddle",30
"billy","billy",30
"bunch","bunch",30
"enjoying","enjoying",30
"festivus","festivus",30
"fixed","fixed",30
"following","following",30
"follows","follows",30
"furniture","furniture",30
"insane","insane",30
"interrupting","interrupting",30
"johnny","johnny",30
"jumps","jumps",30
"junior","junior",30
"klompus","klompus",30
"martin","martin",30
"noticing","noticing",30
"ocean","ocean",30
"perhaps","perhaps",30
"plastic","plastic",30
"plays","plays",30
"position","position",30
"public","public",30
"rent","rent",30
"rental","rental",30
"robert","robert",30
"rush","rush",30
"sales","sales",30
"scared","scared",30
"serenity","serenity",30
"shame","shame",30
"shrugs","shrugs",30
"smoking","smoking",30
"steal","steal",30
"talks","talks",30
"till","till",30
"trash","trash",30
"usual","usual",30
"background","background",29
"boca","boca",29
"checking","checking",29
"choice","choice",29
"customer","customer",29
"dial","dial",29
"drinking","drinking",29
"eats","eats",29
"empty","empty",29
"envelope","envelope",29
"evening","evening",29
"extremely","extremely",29
"fan","fan",29
"fly","fly",29
"forth","forth",29
"fulton","fulton",29
"gas","gas",29
"gay","gay",29
"heidi","heidi",29
"horrible","horrible",29
"impressed","impressed",29
"incredible","incredible",29
"knocking","knocking",29
"letting","letting",29
"match","match",29
"miles","miles",29
"pleading","pleading",29
"pleased","pleased",29
"price","price",29
"quit","quit",29
"risk","risk",29
"saleswoman","saleswoman",29
